State,District,Population Rural,Population Urban,Children Received Polio Birth Rural,Children Received Polio Birth Urban,Children Did Not Receive Any Vaccination Rural,Children Did Not Receive Any Vaccination Urban,Children Received Measles Vaccine Rural,Children Received Measles Vaccine Urban,Children Fully Immunized Rural,Children Fully Immunized Urban,Children Received Bcg Rural,Children Received Bcg Urban,Diarrhoea Dysentery Male Rural,Diarrhoea Dysentery Male Urban,Diarrhoea Dysentery Female Rural,Diarrhoea Dysentery Female Urban,Respiratory Infection Male Rural,Respiratory Infection Male Urban,Respiratory Infection Female Rural,Respiratory Infection Female Urban,Fever Male Rural,Fever Male Urban,Fever Female Rural,Fever Female Urban,Acute Illness Male Rural,Acute Illness Male Urban,Acute Illnes Female Rural,Acute Illness Female Urban,Acute Illness And Treatment From Any Source Rural,Acute Illness And Taking Treatment From Any Source Urban,Acute Illness And Taking Treatment From Any Source Male Rural,Acute Illness And Taking  Treatment From Any Source  Male Urban,Acute Illness And Taking Treatment From Any Source Female Rural,Acute Illness And Taking Treatment From Any Source Female Urban,Acute Illness And Taking Treatment From Government Source Person Rural,Acute Illness And Taking Treatment From Government Person Urban,Acute Illness And Taking Treatment From Government Male Rural,Acute Illness And Taking Treatment From Government Sourc Male Urban,Acute Illness An Taking Treatment From Governmen FemaleRural,Acute Illness And Taking Treatment From Government Female Urban,Women Aware Of Hiv And Aids Rural,Women Aware Of Hiv And Aids Urban,Women Aware Of Rti And Sti Rural,Women Aware Of Rti And Sti Urban,Women Aware Of Haf Ors And Ort And Zinc And Rural,Women Aware Of Haf Ors And Ort And Zinc And Urban,Women Aware Of Ari And  Pneumonia Rural,Women Aware Of Ari And  Pneumonia Urban
Jharkhand,Palamu,127246,6772,72.8,88.0,4.7,0.5,80.9,87.0,64.2,70.8,93.6,99.5,231.0,426.0,205.0,357.0,2378.0,548.0,2218.0,2664.0,2437.0,2012.0,3532.0,3024.0,5509.0,3003.0,6467.0,6323.0,92.0,64.2,91.5,79.7,92.4,56.3,3.1,2.7,3.2,1.3,3.0,3.6,61.0,68.1,71.2,65.0,98.3,84.4,94.5,91.6
Jharkhand,Pashchimi Singhbhum,88412,16070,57.8,90.2,3.1,0.4,86.9,92.9,73.0,84.3,95.0,99.0,593.0,480.0,560.0,535.0,6006.0,6767.0,6163.0,7753.0,4279.0,3093.0,4302.0,3409.0,11800.0,10845.0,11961.0,12178.0,87.7,87.7,88.4,89.4,87.0,86.3,20.4,20.9,21.3,19.5,19.5,22.1,51.3,94.6,56.1,77.4,93.8,98.8,76.2,91.5
Jharkhand,Purbi Singhbhum,75210,99262,84.8,90.8,0.5,0.9,93.3,91.3,87.2,82.9,98.2,98.8,323.0,386.0,267.0,480.0,7339.0,6488.0,7415.0,7219.0,1830.0,1657.0,2036.0,1997.0,9535.0,8634.0,9793.0,9834.0,84.3,92.6,81.4,92.5,87.2,92.7,20.8,6.9,20.6,6.5,21.1,7.2,60.5,91.8,57.6,67.6,95.5,98.8,75.6,91.4
Jharkhand,Ranchi,90577,42670,87.6,92.1,1.6,0.7,91.6,89.3,84.5,75.5,97.1,98.1,258.0,204.0,218.0,196.0,1965.0,2028.0,2053.0,2310.0,3518.0,2140.0,4123.0,2693.0,6609.0,5430.0,7318.0,6312.0,85.8,89.5,85.9,89.3,85.6,89.7,10.8,13.8,11.2,14.1,10.5,13.6,69.0,91.9,57.4,92.2,93.9,99.4,88.1,99.1
Jharkhand,Sahibganj,238744,23036,68.4,88.8,6.4,2.7,73.9,79.4,57.2,65.0,91.0,97.2,555.0,166.0,532.0,253.0,1158.0,1093.0,1028.0,1737.0,3444.0,2211.0,3962.0,2847.0,5827.0,3862.0,6312.0,5327.0,94.4,65.4,94.4,67.6,94.5,63.6,6.2,14.8,6.3,14.7,6.1,14.9,58.1,70.8,64.3,67.3,97.2,91.0,88.5,95.9
Madhya Pradesh,Balaghat,63229,10412,90.4,86.3,2.6,4.4,95.0,91.5,85.2,64.8,97.3,95.6,504.27,192.12,395.93,290.75,2088.06,288.18,1971.56,329.52,15587.86,11488.95,17090.45,11358.79,18577.29,12084.53,19959.64,12075.98,99.5,99.8,99.7,99.8,99.4,99.7,9.3,15.9,9.2,15.6,9.5,16.1,70.6,90.7,78.7,98.1,99.0,99.2,99.9,99.9
Madhya Pradesh,Barwani,45002,8872,78.8,95.2,5.0,1.2,79.6,92.2,64.6,82.5,91.6,98.4,468.35,199.42,432.65,163.32,1741.28,1794.76,1949.84,3126.4,4887.77,7334.13,6318.5,7046.08,7412.56,9461.25,9090.2,10475.79,98.5,99.4,98.5,99.3,98.6,99.6,57.2,36.9,57.0,34.2,57.4,39.4,62.3,81.0,84.7,95.1,90.6,95.5,86.4,90.4
Madhya Pradesh,Betul,56024,14303,86.9,94.6,2.9,3.2,93.9,94.6,63.8,69.1,96.7,96.8,1089.75,466.26,1114.81,590.35,944.84,2879.87,777.37,3023.76,14095.85,10024.68,16066.52,11533.48,16340.03,13535.38,18254.47,15406.77,99.5,99.3,99.5,99.3,99.5,99.3,9.5,3.9,9.8,3.6,9.3,4.2,69.7,92.5,61.8,85.9,96.7,100.0,92.7,100.0
Madhya Pradesh,Bhind,71772,34741,88.8,90.1,3.4,3.5,81.7,85.3,69.3,75.7,95.6,96.0,114.23,136.84,102.06,82.06,1347.89,2309.8,1320.72,2196.55,1893.76,1209.63,3358.96,1906.2,3799.62,3891.63,5167.92,4386.8,97.7,98.3,97.7,99.3,97.7,97.4,9.8,16.0,9.1,14.6,10.5,17.4,63.0,85.6,93.3,95.8,99.5,99.7,96.3,99.0
Madhya Pradesh,Bhopal,11722,64321,94.4,92.5,2.5,2.0,94.0,83.3,88.2,67.7,97.5,97.8,828.25,369.66,981.42,389.93,3346.06,1941.46,2155.84,2287.17,7175.77,2136.8,9000.89,2578.81,11765.14,5175.21,12622.77,6091.49,83.9,98.6,81.9,98.1,86.0,99.1,42.7,32.1,46.1,29.8,39.3,34.1,76.5,95.1,81.6,93.3,97.5,98.0,87.8,95.9
